order,former_image_url,new_image_url
1,https://cdn.ashley.com/assets/73611-64-46-77-46-65-HEAD-ON-SW-P1-KO.jpg,
2,https://cdn.ashley.com/assets/73611-64-46-77-46-65-HEAD-ON-1x1.jpg,
3,https://cdn.ashley.com/assets/73611-64-46-77-46-65-ANGLE-1x1.jpg,
4,https://cdn.ashley.com/assets/73611-64-46-77-46-65-DETAIL-1x1.jpg,
5,https://cdn.ashley.com/assets/73611-64-46-77-46-65-ANGLE-SW-P1-KO.jpg,
6,https://cdn.ashley.com/assets/73611-64-46-77-46-65-BACK-SW-P1-KO.jpg,
7,https://cdn.ashley.com/assets/73611-64-46-77-46-65-DIM.jpg,
8,https://cdn.ashley.com/assets/73611-SWATCH.jpg,
9,https://cdn.ashley.com/assets/73611-SWATCH-500.jpg,
