global_index,category_index,category_name,category_url,image_index_in_category,image_url,alt,product_name,current_price,old_price,discount,rating,review_count,shipping_info,card_text,top,left,product_url,listing_url
1,1,piscine et spa,https://www.cdiscount.com/corner/op/operation/operation-plein-air/piscines-et-spa/l-14121080932.html,1,https://www.cdiscount.com/pdt2/7/9/7/1/400x400/auc3700684106797/rw/spa-gonflable-6-personnes-carre-ospazia-jusqu-a.jpg,Spa Gonflable 6 personnes carré Ospazia - Jusqu’à 40°C - Prêt en 5 minutes - Couverture et filtre inclus,Spa Gonflable 6 personnes carré Ospazia - Jusqu’à 40°C - Prêt en 5 minutes - Couverture et filtre inclus,"699,00 €","699,00 €",,4.1,40,Livraison gratuite1 Moins cher qu'Amazon,"Meilleur prix Sponsorisé? Spa Gonflable 6 personnes carré Ospazia - Jusqu’à 40°C - Prêt en 5 minutes - Couverture et filtre inclus 4,1 / 5 40 avis Composition du lot : Le lot contient le spa, un filtre, un cadenas, un tuyau de gonflage, un tapis de sol et une couverture à clips Nombre et type de jets : 130 micro-jets Dimensions : 185 x 185 x 65 cm Hauteur de la ligne d'eau : 66 cm Livraison gratuite1 Moins cher qu'Amazon.fr ? 359,95 € Ajouter",420.0,332.0,https://www.cdiscount.com/jardin/spa/spa-gonflable-6-personnes-carre-ospazia-jusqu-a/f-1633001-auc3700684106797.html?idOffre=402533183&sw=2176a09e38a4770ef97846c149063d4f9b2d8c30b0f6cc77e47586da4daaf58d24c43550d87b66e5f4ee60e0c7cd4615f94e5cee3c764f44923a11e53f4cbf40e7fe3f2df541107a3c36802f40fad42de144b6e76b7fffd95aec282b86507c31896241311418cefbb6dc2be7769a01b5ea6a0bf78e5f971a10257eaa2eaa52c6115c53cb9df87e9566fb445d253f478e#mpos=1|mp,https://www.cdiscount.com/b-431533-piscines-et-spa.html
2,1,piscine et spa,https://www.cdiscount.com/corner/op/operation/operation-plein-air/piscines-et-spa/l-14121080932.html,2,https://www.cdiscount.com/pdt2/5/0/4/1/400x400/bes6927088816504/rw/kit-tout-inclus-bestway-spa-gonflable-rond-4-pla.jpg,"KIT TOUT INCLUS BESTWAY : spa gonflable rond 4 places et accessoires : 2 appuis têtes, filtre, épuisette, brosse, gant et couverture","KIT TOUT INCLUS BESTWAY : spa gonflable rond 4 places et accessoires : 2 appuis têtes, filtre, épuisette, brosse, gant et couverture","299,99 €","359,00 €",,4.5,278,Livraison gratuite1 Livré par Cdiscount Les imbat,"Bon plan Sponsorisé? KIT TOUT INCLUS BESTWAY : spa gonflable rond 4 places et accessoires : 2 appuis têtes, filtre, épuisette, brosse, gant et couverture 4,5 / 5 278 avis Composition du lot : 1 spa, 1 bâche isolante, 1 pompe de spa, cartouche de filtration (VI), 1 diffuseur ChemConnect, 1 patch de réparation Nombre et type de jets : 120 jets d'air AirJet Entretien de l'eau : Produit d'entretien Dimensions : 175 x 66 cm Cdiscount à volonté Livraison gratuite1 Livré par Cdiscount Les imbattables Prix de comparaison 359,00 € 299,99 € Ajouter",669.0,332.0,https://www.cdiscount.com/jardin/sauna/kit-tout-inclus-bestway-spa-gonflable-rond-4-pla/f-1630401-bes6927088816504.html?idOffre=4271605886&sw=2176a09e38a4770ef97846c149063d4f2127fe1c63ecd9d362f06a680966daed9b8a3a96f0af31f5cf04383ac4ca2e683b3c4d0d3ec819ebc54441d89274295aaa2eacc54ee5ed825d8e04743fa34ace4a88f6275f96efa9f819727ef0b387918e0d960ff9577e7ca1581e43e9fe3de1d4ea3360bb242942003f141b8bc40fcdae596465061ae22fadd394b4d33edb03#mpos=2|cd,https://www.cdiscount.com/b-431533-piscines-et-spa.html
3,1,piscine et spa,https://www.cdiscount.com/corner/op/operation/operation-plein-air/piscines-et-spa/l-14121080932.html,3,https://www.cdiscount.com/pdt2/5/9/7/1/400x400/auc3700684100597/rw/kit-tout-inclus-sunspa-spa-gonflable-carre-6-plac.jpg,"KIT TOUT INCLUS SUNSPA: spa gonflable carré 6 places et accessoires : 4 appuis têtes, filtre, épuisette, brosse, tapis, couverture","KIT TOUT INCLUS SUNSPA: spa gonflable carré 6 places et accessoires : 4 appuis têtes, filtre, épuisette, brosse, tapis, couverture","339,99 €","655,95 €",,3.9,245,Livraison gratuite1 Livré par Cdiscount Les imbat,"Bon plan KIT TOUT INCLUS SUNSPA: spa gonflable carré 6 places et accessoires : 4 appuis têtes, filtre, épuisette, brosse, tapis, couverture 3,9 / 5 245 avis Composition du lot : Spa gonflable, filtre, tuyau de gonflage, tapis de sol, couverture à clips, épuisette, brosse, 4 reposes têtes Nombre et type de jets : 130 micro jets Dimensions : 185 x 185 cm Cdiscount à volonté Livraison gratuite1 Livré par Cdiscount Les imbattables Prix de comparaison 655,95 € 339,99 € Ajouter",939.296875,332.0,https://www.cdiscount.com/jardin/spa/kit-tout-inclus-sunspa-spa-gonflable-carre-6-plac/f-1633001-auc3700684100597.html#mpos=3|cd,https://www.cdiscount.com/b-431533-piscines-et-spa.html
4,1,piscine et spa,https://www.cdiscount.com/corner/op/operation/operation-plein-air/piscines-et-spa/l-14121080932.html,4,https://www.cdiscount.com/pdt2/4/g/n/1/400x400/int26364gn/rw/kit-piscine-hors-sol-tubulaire-intex-ultra-xtr.jpg,Kit Piscine hors sol tubulaire INTEX - Ultra XTR - 732 x 366 x 132 cm - Rectangulaire (Filtre à sable + accessoires) - 26364GN,Kit Piscine hors sol tubulaire INTEX - Ultra XTR - 732 x 366 x 132 cm - Rectangulaire (Filtre à sable + accessoires) - 26364GN,"969,00 €",,,4.6,19,Livré par Cdiscount Moins cher qu'Amazon,"Meilleur prix Sponsorisé? Kit Piscine hors sol tubulaire INTEX - Ultra XTR - 732 x 366 x 132 cm - Rectangulaire (Filtre à sable + accessoires) - 26364GN 4,6 / 5 19 avis Composition du lot : Filtre à sable, tapis de sol, bâche, lot de 2 vannes d'arrêt, échelle de sécurité Dimensions : 732 x 366 x 132 cm Hauteur de la ligne d'eau : 1,14 m Volume d'eau : 31,8 m3 Livré par Cdiscount Moins cher qu'Amazon.fr ? 969,00 € Ajouter",1189.59375,332.0,https://www.cdiscount.com/jardin/piscine/kit-piscine-hors-sol-tubulaire-intex-ultra-xtr/f-1631801-int26364gn.html?idOffre=322630028&sw=2176a09e38a4770ef97846c149063d4f2127fe1c63ecd9d362f06a680966daed726e0cf18f67d674aad1c5976bab7732766385e41abbb4104f5a7d994b082ca02ca3b4aaf9b13cd3dafa1eb6449824fe7b05d51ff553041474e837f23d56dc494f0b4265b5102a606d774ac521315782ef00959575f6d8d7f6416ecb46c084b97000d8adb1b418c79e6ac46018c90cb7#mpos=4|cd,https://www.cdiscount.com/b-431533-piscines-et-spa.html
5,1,piscine et spa,https://www.cdiscount.com/corner/op/operation/operation-plein-air/piscines-et-spa/l-14121080932.html,5,https://www.cdiscount.com/pdt2/8/7/9/1/400x400/aaaqn67879/rw/robot-de-piscine-sans-fil.jpg,Robot de Piscine Sans Fil Wybot C2 - Double Filtration Ultra-Fine - Batterie grande autonomie - Application Smartphone,Robot de Piscine Sans Fil Wybot C2 - Double Filtration Ultra-Fine - Batterie grande autonomie - Application Smartphone,"569,00 €",,,4.5,26,"Livraison gratuite1 Livré par Cdiscount 569,00 €","Sponsorisé? Robot de Piscine Sans Fil Wybot C2 - Double Filtration Ultra-Fine - Batterie grande autonomie - Application Smartphone 4,5 / 5 26 avis Surface nettoyée : Escalier, Fond, Fond et paroi, Ligne d'eau, Paroi Dimensions : 36 x 36 x 24 cm Type d'alimentation : Batterie Cdiscount à volonté Livraison gratuite1 Livré par Cdiscount 569,00 € Ajouter",1454.59375,332.0,https://www.cdiscount.com/jardin/piscine/robot-de-piscine-sans-fil/f-163180201-aaaqn67879.html?idOffre=4216843352&sw=2176a09e38a4770ef97846c149063d4f9b2d8c30b0f6cc77e47586da4daaf58df1f10146ece5ef691cd6c129c174c7945d6ca3b1d25281a48aaf65431eae43954246dd87c56018b1a8a70dbb40213fddb048665ace2d4238b7bf9df96337369aab358fab9ee38b9e826b8b50eb6bf87aee39b7a079dc6d5d207c0b0febd92aeea658576895412082419d628e6ca1932f#mpos=5|mp,https://www.cdiscount.com/b-431533-piscines-et-spa.html
6,1,piscine et spa,https://www.cdiscount.com/corner/op/operation/operation-plein-air/piscines-et-spa/l-14121080932.html,6,https://www.cdiscount.com/pdt2/8/n/p/1/400x400/int26798np/rw/kit-piscine-hors-sol-tubulaire-intex-pris-frame.jpg,"Kit Piscine hors sol tubulaire INTEX - Pris Frame - 610 x 305 x 122 cm - Ovale (Pompe, bâche, tapis de sol et échelle) - 26798NP","Kit Piscine hors sol tubulaire INTEX - Pris Frame - 610 x 305 x 122 cm - Ovale (Pompe, bâche, tapis de sol et échelle) - 26798NP","639,00 €",,,4.8,41,"Livré par Cdiscount 639,00 € Ajouter","Sponsorisé? Kit Piscine hors sol tubulaire INTEX - Pris Frame - 610 x 305 x 122 cm - Ovale (Pompe, bâche, tapis de sol et échelle) - 26798NP 4,8 / 5 41 avis Composition du lot : Piscine, épurateur à cartouche 4,4m³/h, cartouche de filtration inclus, bâche et tapis de sol, échelle de sécurité avec marches amovibles Dimensions : (L)6,10 x (l)3,05 x (h)1,22m Volume d'eau : 18,2 m3 Type d'alimentation : Electrique Livré par Cdiscount 639,00 € Ajouter",1704.890625,332.0,https://www.cdiscount.com/jardin/piscine/kit-piscine-hors-sol-tubulaire-intex-pris-frame/f-1631801-int26798np.html?idOffre=301960856&sw=2176a09e38a4770ef97846c149063d4f2127fe1c63ecd9d362f06a680966daed726e0cf18f67d674aad1c5976bab7732da73ed3a694d4943d914c5331308661eaa8ba4be6b7d6911149e5ac4d0592ff91f24cae1b09589f9d638bf2c335141d7a459810fb037d90020695a16264aa301f186bc3e302f4505cba6ea99959c07dacb17f5c76c5ae760ecefd81e982ec632#mpos=6|cd,https://www.cdiscount.com/b-431533-piscines-et-spa.html
7,1,piscine et spa,https://www.cdiscount.com/corner/op/operation/operation-plein-air/piscines-et-spa/l-14121080932.html,7,https://www.cdiscount.com/pdt2/2/4/4/1/400x400/bes6942138982244/rw/kit-piscine-hors-sol-tubulaire-bestway-steel-pro-m.jpg,"Kit Piscine hors sol tubulaire BESTWAY Steel Pro Max - 366 x 122 cm - Ronde (Livrée avec un filtre à cartouche, échelle, bâche)","Kit Piscine hors sol tubulaire BESTWAY Steel Pro Max - 366 x 122 cm - Ronde (Livrée avec un filtre à cartouche, échelle, bâche)","319,99 €",,,4.1,84,"Livrée avec un filtre à cartouche, échelle, b","Sponsorisé? Kit Piscine hors sol tubulaire BESTWAY Steel Pro Max - 366 x 122 cm - Ronde (Livrée avec un filtre à cartouche, échelle, bâche) 4,1 / 5 84 avis Entretien de l'eau : Chlore, Clarifiant piscine, Sel Dimensions : 366x366x122 cm Hauteur de la ligne d'eau : 110 cm Volume d'eau : 10,2 m3 Livré par Cdiscount 319,99 € Ajouter",1953.890625,332.0,https://www.cdiscount.com/jardin/piscine/kit-piscine-hors-sol-tubulaire-bestway-steel-pro-m/f-1631801-bes6942138982244.html?idOffre=660545633&sw=2176a09e38a4770ef97846c149063d4f2127fe1c63ecd9d362f06a680966daedc47f43548a5d90f5c35a7cd6bd616e92b160224e5c2c411087ae5ef48b32138275fa46dfa6bde9ef7b3ad1946c55c304a9e9dcfecc2282dbffbca674aa147186d00d08d9a9bcf11f32b20c73891f44068ee9040aa0e3fab961e2c8bbc6ec990e035cbf63b8b95d097a34369e8e6bd21a#mpos=7|cd,https://www.cdiscount.com/b-431533-piscines-et-spa.html
8,1,piscine et spa,https://www.cdiscount.com/corner/op/operation/operation-plein-air/piscines-et-spa/l-14121080932.html,8,https://www.cdiscount.com/pdt2/9/6/8/1/400x400/aaahz92968/rw/robot-piscine-sans.jpg,"AIRROBO PC10 Robot de Piscine sans Fil,des Parois et de la Ligne d' Eau,120Min & 170m² d'Autonomie,Forte Puissance d’Aspiration","AIRROBO PC10 Robot de Piscine sans Fil,des Parois et de la Ligne d' Eau,120Min & 170m² d'Autonomie,Forte Puissance d’Aspiration","359,00 €",20 €,,4.4,30,Livraison gratuite1 Partagez votre avis et gagnez,"Bon plan Sponsorisé? AIRROBO PC10 Robot de Piscine sans Fil,des Parois et de la Ligne d' Eau,120Min & 170m² d'Autonomie,Forte Puissance d’Aspiration 4,4 / 5 30 avis Livraison gratuite1 Partagez votre avis et gagnez 20€ 359,00 € Ajouter",2202.890625,332.0,https://www.cdiscount.com/jardin/piscine/robot-piscine-sans/f-163180201-aaahz92968.html?idOffre=4207862115&sw=2176a09e38a4770ef97846c149063d4f3444c06a53bc137d7b68ffd1dd4f0e7a206680623f43bc2317ed6e1d5fc5f1b53fe12fd6c0dce036816af3fb24b90e5cf92539b8bafe4858a618e16a2da5d5891e8073e40de7ea57acb8d377c18e94747690211fb798c4a39f3caaedd79233a9e3f52169ed9240c36838059a43f19f9ca7a1015593e24c8360b73856db82a143#mpos=8|mp,https://www.cdiscount.com/b-431533-piscines-et-spa.html
9,1,piscine et spa,https://www.cdiscount.com/corner/op/operation/operation-plein-air/piscines-et-spa/l-14121080932.html,9,https://www.cdiscount.com/pdt2/6/g/n/1/400x400/int26356gn/rw/intex-26356gn-kit-piscine-ultra-xtr-rectangula.jpg,"Intex - 26356GN - Kit piscine ultra xtr rectangulaire tubulaire 5,49 x 2,74 x 1,32m","Intex - 26356GN - Kit piscine ultra xtr rectangulaire tubulaire 5,49 x 2,74 x 1,32m","707,87 €",,,4.7,41,"Livré par Cdiscount 707,87 € Ajouter","Intex - 26356GN - Kit piscine ultra xtr rectangulaire tubulaire 5,49 x 2,74 x 1,32m 4,7 / 5 41 avis Composition du lot : Filtre à sable, tapis de sol, bâche, lot de 2 vannes d'arrêt, échelle de sécurité Dimensions : 549 x 274 x 132 cm Hauteur de la ligne d'eau : 1,14 m Volume d'eau : 17,2 m3 Livré par Cdiscount 707,87 € Ajouter",2451.890625,332.0,https://www.cdiscount.com/jardin/piscine/intex-26356gn-kit-piscine-ultra-xtr-rectangula/f-1631801-int26356gn.html#mpos=9|cd,https://www.cdiscount.com/b-431533-piscines-et-spa.html
10,1,piscine et spa,https://www.cdiscount.com/corner/op/operation/operation-plein-air/piscines-et-spa/l-14121080932.html,10,https://www.cdiscount.com/pdt2/1/2/3/1/400x400/bes6941607393123/rw/robot-aspirateur-bestway-quartz-rechargeable.jpg,Robot aspirateur - Bestway - Quartz - Rechargeable et autonome - nettoyage fond plat - 10 m² max,Robot aspirateur - Bestway - Quartz - Rechargeable et autonome - nettoyage fond plat - 10 m² max,"69,99 €","89,00 €",,4.6,45,Livraison gratuite1 Livré par Cdiscount Les imbat,"Bon plan Sponsorisé? Robot aspirateur - Bestway - Quartz - Rechargeable et autonome - nettoyage fond plat - 10 m² max 4,6 / 5 45 avis Surface nettoyée : Fond Type d'alimentation : Batterie Cdiscount à volonté Livraison gratuite1 Livré par Cdiscount Les imbattables Prix de comparaison 89,00 € 69,99 € Ajouter",2699.890625,332.0,https://www.cdiscount.com/jardin/piscine/robot-aspirateur-bestway-quartz-rechargeable/f-163180201-bes6941607393123.html?idOffre=4184608394&sw=2176a09e38a4770ef97846c149063d4f2127fe1c63ecd9d362f06a680966daedcffa4c739498fa203a8451d001e56764cd948b6c29c6ff057daeda890957c21b5ce626ea52394c05896cc78348dfb375a5cbe07203da7fbd407f44db9491cfe8adde68f0441fbd8077acc9461662856022ccdad2c30ebab835492640e862e20f46414ce6ad6047dde33a431c6957dd74#mpos=10|cd,https://www.cdiscount.com/b-431533-piscines-et-spa.html
