order,filename,local_path,image_url,product_name,current_price,old_price,rating,review_count,product_url,category_name
017,017_robot-piscine-sans-fil-airrobo-cp02-nettoyage-du-fond-hors-s.jpg,,https://www.cdiscount.com/pdt2/3/3/4/1/400x400/aackg75334/rw/airrobo-cp02-lite-robot-de.jpg,"Robot Piscine sans Fil AIRROBO CP02 Nettoyage du Fond, Hors-Sol jusqu'à 80m², Autonomie 120 min, Double Filtre 250 microns, IP68","149,99 €","299,99 €",2,3,https://www.cdiscount.com/jardin/piscine/airrobo-cp02-lite-robot-de/f-163180201-aackg75334.html?idOffre=4294199171&sw=2176a09e38a4770ef97846c149063d4f2127fe1c63ecd9d362f06a680966daedff72930a51b016c9ca197dd553ccd211cd09b11eb2017cc7af327de408d46d55ca1f94b59cc1e8115a0889bcb0da69db2c8bf74ece2cc29d65cdadd3333c24ce6b637eee47e1dcf1e787e0adc68124b37320bbbc36bf152dc53ef895de7a835af39cc173372d492fce8bf6b195d0cfa5#mpos=17|mp,piscine et spa
018,018_pompe-filtre-sable-10-2m-auto-amor-ante-piscines-35m-certifi.jpg,,https://www.cdiscount.com/pdt2/8/0/0/1/400x400/auc4250525304800/rw/pompe-filtre-a-sable-10-200l-h-400w-2en1-raccord-3.jpg,"Pompe filtre à sable 10,2m³ auto-amorçante piscines 35m³ certifié TÜV vanne 7 voies raccord Ø32-38mm système de filtration à sable","149,99 €",,4.3,295,https://www.cdiscount.com/jardin/piscine/pompe-filtre-a-sable-10-200l-h-400w-2en1-raccord-3/f-163180302-auc4250525304800.html?idOffre=93113649&sw=2176a09e38a4770ef97846c149063d4f2127fe1c63ecd9d362f06a680966daed087cb8fe326d15b9bdd60e93d3513f1502fb7d52e188e80fda233be215705fed9c6e2fae2e55cb4658e3be2b8628c8c185c1f00a5baf864555a5c5d4fa83fdb34fb3bcab7012c273ac72aa8995958d9ecf1e7313e9c542c44ae35a0eba0b80eadf9e18e89947b6c8e2cf7dea5d478670#mpos=18|mp,piscine et spa
019,019_kit-piscine-hors-sol-tubulaire-bestway-steel-pro-max-427-x-2.jpg,,https://www.cdiscount.com/pdt2/b/0/3/1/400x400/bunbespiscrob03/rw/kit-piscine-hors-sol-tubulaire-bestway-steel-pro.jpg,Kit Piscine hors sol tubulaire BESTWAY - Steel Pro MAX™ - 427 x 250 x 100 cm - Ovale + Robot piscine Quartz,"399,99 €","518,00 €",4.3,112,https://www.cdiscount.com/jardin/piscine/kit-piscine-hors-sol-tubulaire-bestway-steel-pro/f-1631801-bunbespiscrob03.html#mpos=19|cd,piscine et spa
020,020_spino-e1-robot-piscine-sans-fil-nettoie-fond-parois-et-ligne.jpg,,https://www.cdiscount.com/pdt2/0/3/9/1/400x400/aabhj30039/rw/spino-e1-robot-piscine-sans-fil-nettoie-fond-paro.jpg,"Spino E1 Robot Piscine Sans Fil, Nettoie Fond Parois et Ligne d'Eau, avec App, Trajet SmartArc, 210 Min & 150m² d'Autonomie","499,00 €",20 €,5,2,https://www.cdiscount.com/jardin/piscine/spino-e1-robot-piscine-sans-fil-nettoie-fond-paro/f-163180201-aabhj30039.html?idOffre=4258274714&sw=2176a09e38a4770ef97846c149063d4f2127fe1c63ecd9d362f06a680966daed72b79a502c31764c5ed443c9ed691c7b3bbe9583aaa7d341e556dbafd8d4887f15b2f8e6eb81fd3d4595796edb0d1364ab35c7b4d4622bd4f337971913416905ec7260b9720b30e93bbdd8cbfb9468699bd4845c5fb14b83152bfc9f8275ed724116024bc7963ccf1a9874cd6ad9651d#mpos=20|mp,piscine et spa
021,021_spa-semi-rigide-bestway-lay-z-spa-toronto-smart-airjet-7-pla.jpg,,https://www.cdiscount.com/pdt2/3/5/9/1/400x400/bes1736357321359/rw/spa-semi-rigide-bestway-lay-z-spa-toronto-smart-ai.jpg,Spa semi-rigide Bestway Lay-Z-Spa TORONTO Smart Airjet 7 places,"749,00 €",,,,https://www.cdiscount.com/jardin/spa/spa-semi-rigide-bestway-lay-z-spa-toronto-smart-ai/f-1633001-bes1736357321359.html?idOffre=4298758516&sw=2176a09e38a4770ef97846c149063d4f2127fe1c63ecd9d362f06a680966daed0c6f9edbd78b49e358d0e75c26dae9da93246a76082ac9cb6fc2681efef18072c4e804ea48a2d99a7b9c07497d1f9fc216d3c88b3319b02a233bcf4bc8f688739af8e79445dd3d8c1bb6f864d36f131b10e5b093e3a6de78f7b93b29025dcac1267152a47c81504345d57fff523dc4e4#mpos=21|mp,piscine et spa
022,022_kit-piscine-hors-sol-tubulaire-bestway-steel-pro-max-427-x-2.jpg,,https://www.cdiscount.com/pdt2/4/3/1/1/400x400/bes6941607366431/rw/kit-piscine-hors-sol-tubulaire-bestway-steel-pro.jpg,"Kit Piscine hors sol tubulaire BESTWAY - Steel Pro MAX™ - 427 x 250 x 100 cm - Ovale (Avec filtre à cartouche, cartouche et échelle)","387,38 €",,4.3,112,https://www.cdiscount.com/jardin/piscine/kit-piscine-hors-sol-tubulaire-bestway-steel-pro/f-1631801-bes6941607366431.html#mpos=22|cd,piscine et spa
023,023_kit-piscine-hors-sol-tubulaire-bestway-apx-365-549-x-274-x-1.jpg,,https://www.cdiscount.com/pdt2/6/5/6/1/400x400/bes6941607365656/rw/kit-piscine-hors-sol-tubulaire-bestway-apx-365.jpg,"Kit Piscine hors sol tubulaire BESTWAY - APX 365 - 549 x 274 x 132 cm - Rectangulaire (Filtre à sable, 250g polysphère, échelle, bâc","744,00 €",,4.5,6,https://www.cdiscount.com/jardin/piscine/kit-piscine-hors-sol-tubulaire-bestway-apx-365/f-1631801-bes6941607365656.html#mpos=23|cd,piscine et spa
024,024_kit-piscine-hors-sol-tubulaire-intex-ultra-xtr-975-x-488-x-1.jpg,,https://www.cdiscount.com/pdt2/4/g/n/1/400x400/int26374gn/rw/kit-piscine-hors-sol-tubulaire-intex-ultra-xtr.jpg,Kit Piscine hors sol tubulaire INTEX - Ultra XTR - 975 x 488 x 132 cm - Rectangulaire (Filtre à sable + accessoires) - 26374GN,"1203,04 €",,5,4,https://www.cdiscount.com/jardin/piscine/kit-piscine-hors-sol-tubulaire-intex-ultra-xtr/f-1631801-int26374gn.html?idOffre=322630039&sw=2176a09e38a4770ef97846c149063d4f2127fe1c63ecd9d362f06a680966daed726e0cf18f67d674aad1c5976bab7732766385e41abbb4104f5a7d994b082ca02ca3b4aaf9b13cd3dafa1eb6449824feff883cf6a58e2822cbe3400ecd9774bf3aadde29c7811ce7d853afe49524fdb606f31df6143643c0338349058638f3151682660fd85cecaade1ac2de9ba1bfd1#mpos=24|cd,piscine et spa
025,025_filtre-sable-intex-sx3200-10m-h-pour-piscine-jusqu-65m.jpg,,https://www.cdiscount.com/pdt2/2/f/r/1/400x400/int26652fr/rw/filtre-a-sable-intex-sx3200-10m3-h-pour-piscine-ju.jpg,Filtre à sable Intex SX3200 10m³/h pour piscine jusqu'à 65m³,"182,82 €","289,00 €",4.5,37,https://www.cdiscount.com/jardin/piscine/filtre-a-sable-intex-sx3200-10m3-h-pour-piscine-ju/f-163180302-int26652fr.html#mpos=25|cd,piscine et spa
026,026_robot-de-piscine-wybot-osprey-800-sans-fil-autonomie-150-min.jpg,,https://www.cdiscount.com/pdt2/0/9/5/1/400x400/aacrf48095/rw/osprey-800-robot-piscine-sans.jpg,Robot de piscine - WYBOT - Osprey 800 - Sans fil - Autonomie 150 min - Filtration 180 microns,"466,00 €",,5,2,https://www.cdiscount.com/jardin/piscine/osprey-800-robot-piscine-sans/f-163180201-aacrf48095.html#mpos=26|mp,piscine et spa
027,027_filtre-sable-pompe-de-filtration-pour-piscine-jusqu-18-m3-be.jpg,,https://www.cdiscount.com/pdt2/4/7/4/1/400x400/bes6941607361474/rw/filtre-a-sable-pompe-de-filtration-pour-piscine.jpg,Filtre à sable / pompe de filtration pour piscine jusqu'à 18 m3- Bestway - 3 596 L/h - Avec préfiltre,"79,99 €","99,00 €",4.6,183,https://www.cdiscount.com/jardin/piscine/filtre-a-sable-pompe-de-filtration-pour-piscine/f-163180302-bes6941607361474.html#mpos=27|cd,piscine et spa
