order,former_image_url,new_image_url
1,https://www.cdiscount.com/pdt2/5/6/1/1/700x700/vicomteb002561/rw/canape-d-angle-convertible-reversible-4-places.jpg,
2,https://www.cdiscount.com/pdt2/5/6/1/2/700x700/vicomteb002561/rw/canape-d-angle-convertible-reversible-4-places.jpg,
3,https://www.cdiscount.com/pdt2/5/6/1/3/700x700/vicomteb002561/rw/canape-d-angle-convertible-reversible-4-places.jpg,
4,https://www.cdiscount.com/pdt2/5/6/1/4/700x700/vicomteb002561/rw/canape-d-angle-convertible-reversible-4-places.jpg,
5,https://www.cdiscount.com/pdt2/5/6/1/5/700x700/vicomteb002561/rw/canape-d-angle-convertible-reversible-4-places.jpg,
6,https://www.cdiscount.com/pdt2/5/6/1/6/700x700/vicomteb002561/rw/canape-d-angle-convertible-reversible-4-places.jpg,
7,https://www.cdiscount.com/pdt2/5/6/1/7/700x700/vicomteb002561/rw/canape-d-angle-convertible-reversible-4-places.jpg,
8,https://www.cdiscount.com/pdt2/5/6/1/8/700x700/vicomteb002561/rw/canape-d-angle-convertible-reversible-4-places.jpg,
9,https://www.cdiscount.com/pdt2/5/6/1/9/700x700/vicomteb002561/rw/canape-d-angle-convertible-reversible-4-places.jpg,
